v_inf,re,im
5.0,-2.916611987832939,-458.12466600879753
5.0,-2.9165323247570325,-458.1245748941024
5.0,-2.9166916505347142,-458.1245748939024
5.0,-2.916611987498813,-458.1243337722395
5.0,-2.9166119875562986,-458.12413679488776
5.0,-2.9166119875904686,-458.1237313208693
5.0,-2.916611988332544,-458.1234977756448
5.0,-2.9166119893791085,-458.1228769168597
5.0,-2.9166119932082,-458.122162266903
5.0,-2.9166120043565433,-458.12100581957765
5.0,-2.916612031596514,-458.1189743866679
5.0,-2.9166121541423213,-458.11511227176226
5.0,-2.91661266950657,-458.1063947583294
5.0,-2.9166164092594404,-458.0825657509226
5.0,-2.916623182071476,-458.0248171572396
5.0,-2.9166125322667877,-457.99965033430607
5.0,-2.9166133997259727,-457.97946226213026
5.0,-2.916614973707686,-457.94849823159757
5.0,-2.9166158609252277,-457.9026712141659
5.0,-2.9166206567586053,-457.83221843138637
5.0,-2.917342503159879,-457.7787802425588
5.0,-2.9170791866078267,-457.70954693935613
5.0,-2.9169999721290205,-457.7072220608798
5.0,-2.9173615780508513,-457.6933260701626
5.0,-2.9173168424706803,-457.6699368677486
5.0,-2.917244419942172,-457.6391567260842
5.0,-2.9171450696678933,-457.60329392638045
5.0,-2.9170369568926264,-457.56683584056356
5.0,-2.9170172885741086,-457.52891288677154
5.0,-2.917005033276147,-457.4802584980045
5.0,-2.9169082768830257,-457.4229382870739
5.0,-2.9167106948141837,-457.39587466968345
5.0,-2.9168836663221507,-457.3458808501537
5.0,-2.916824498291418,-457.26722482159613
5.0,-2.91675882148754,-457.1772792054786
5.0,-2.9166953026739697,-457.07555153694756
5.0,-2.9166374379583693,-456.96055102610336
5.0,-2.91658596967776,-456.83041751787323
5.0,-2.916544821843684,-456.6833055959354
5.0,-2.916515154564436,-456.51914222879145
5.0,-2.916501492355147,-456.3514079525201
5.0,-2.916907899225117,-456.1690313222329
5.0,-68.32939944346455,-456.0802606822266
5.0,-68.7834546627798,-456.0263123255692
5.0,-2.9164892436228076,-455.9799086724671
5.0,-2.916535602746743,-455.73517763111585
5.0,-67.27420806254472,-455.71747986022444
5.0,-67.11459532075703,-455.49997350702233
5.0,-66.64424514760387,-455.4732638396448
5.0,-2.9166176781154167,-455.41108976938517
5.0,-66.5143466984344,-455.38022294692416
5.0,-66.8209905036019,-455.2674974281028
5.0,-2.916760722690492,-455.01097718635066
5.0,-2.916994459406725,-454.51740541849875
5.0,-2.917374728571039,-453.90136914551937
5.0,-2.9179894930091717,-453.11945661413057
5.0,-66.72638035992493,-453.0541644888908
5.0,-39.41382011753556,-452.4234343718394
5.0,-52.605758715432856,-452.4157381528069
5.0,-64.40811487888053,-452.39544340894224
5.0,-68.25736618970372,-452.10854907543967
5.0,-2.9190092959523297,-452.10615781106
5.0,-66.70852809362789,-451.5317685776032
5.0,-2.9207594931012633,-450.7596046583161
5.0,-66.85709782300854,-449.3015684653937
5.0,-66.55522725370328,-449.1880582063515
5.0,-67.15836463240768,-449.1071604181091
5.0,-66.69432116659394,-449.0978182459013
5.0,-2.9239039224721006,-448.91479668494867
5.0,-67.28904202331398,-448.75459275323794
5.0,-68.96699776175018,-448.41677974295095
5.0,-68.14789656287778,-448.3966908772471
5.0,-57.523710889594156,-446.74323901311436
5.0,-22.485880563901496,-446.7171014103843
5.0,-38.262692912722414,-446.70947873411404
5.0,-66.01530407031983,-446.66862827385665
5.0,-67.86303233546036,-446.5468295432083
5.0,-2.9300001905661093,-446.29044903134246
5.0,-70.77885035778566,-445.5996996292826
5.0,-68.55563915108812,-444.51117416788304
5.0,-68.62307158999702,-444.07940600731854
5.0,-67.29243692638173,-443.9621761387559
5.0,-67.08740634093978,-443.8471521068261
5.0,-66.63374993428971,-443.7894314328046
5.0,-66.50716793000792,-443.6925807497598
5.0,-66.8122155969659,-443.58272626684027
