v_inf,re,im
1.0,-0.5833223975557956,-91.62498619630311
1.0,-0.5833223975731842,-91.62497930490477
1.0,-0.5833423414014278,-91.62496154404066
1.0,-0.5833024536966024,-91.62496154404016
1.0,-0.5832856791372443,-91.62492957508663
1.0,-0.5833591159948154,-91.62492957504652
1.0,-0.583322397673871,-91.62490489576754
1.0,-0.5833223976699499,-91.62484506754043
1.0,-0.5833223979391337,-91.62475504437495
1.0,-0.5833223988470791,-91.62462040186887
1.0,-0.583322403080705,-91.62426970949264
1.0,-0.583322432918207,-91.62331271331696
1.0,-0.5833224871297461,-91.62100355922657
1.0,-0.583322401924909,-91.6199968889959
1.0,-0.5833224088647013,-91.61918936640762
1.0,-0.5833224214557798,-91.61795080411838
1.0,-0.583322428553775,-91.61611772202265
1.0,-0.5833224669193502,-91.61329960878989
1.0,-0.5833282417787341,-91.61116221887242
1.0,-0.5833261103591457,-91.60839488976201
1.0,-0.5833255280408893,-91.60829742733269
1.0,-0.5833283915936391,-91.60774455965233
1.0,-0.5833280373708476,-91.60680762097644
1.0,-0.5833274571093314,-91.60557678509086
1.0,-0.5833266618562695,-91.60414249337381
1.0,-0.5833257971570204,-91.60268440322336
1.0,-0.5833256412154497,-91.60116662071657
1.0,-0.5833255404645069,-91.5992232287418
1.0,-0.5833247678122158,-91.59692771305049
1.0,-0.5833231881587664,-91.59584558166588
1.0,-0.5833245708780562,-91.59384671570176
1.0,-0.5833240974504003,-91.5907001310221
1.0,-0.5833235725942483,-91.58710219529877
1.0,-0.5833230640411486,-91.58303173864542
1.0,-0.5833226010134135,-91.57843232983222
1.0,-0.5833221893837836,-91.57322669498785
1.0,-0.5833218603304579,-91.56734308136548
1.0,-0.5833216228433918,-91.5607760645367
1.0,-0.5833215135802455,-91.55406607248666
1.0,-0.5833247651222603,-91.54677110896853
1.0,-0.5833214155843884,-91.53920591440095
1.0,-0.5833217865295877,-91.52941584733998
1.0,-0.5833224432120211,-91.51645165821957
1.0,-0.5833235879234923,-91.50044582973337
1.0,-0.5833254583843672,-91.4807002905433
1.0,-0.5833285021196595,-91.45605495950356
1.0,-0.5833334239198028,-91.42477139039727
1.0,-0.5833415910666077,-91.38422620093593
1.0,-0.5833556165837095,-91.3303393457968
1.0,-13.792029543358892,-91.30672285041022
1.0,-0.5833808378946139,-91.25649423503933
1.0,-13.654212130004195,-91.25516496317279
1.0,-0.5834298202144241,-91.1514004207985
1.0,-13.471907863827848,-91.13704232988894
1.0,-13.42348433938484,-91.11661177434607
1.0,-13.336809416200094,-91.08840139631809
1.0,-13.287868293387682,-91.080106478255
1.0,-13.362045810065847,-91.0582406510292
1.0,-0.583531873516169,-90.99449998815197
1.0,-0.5837768419236096,-90.7451029470795
1.0,-13.358915604622442,-90.61634091531009
1.0,-7.88283639498656,-90.48464135800567
1.0,-10.524374007942082,-90.48265042911582
1.0,-12.871625791052205,-90.47900592295737
1.0,-13.598867741164728,-90.41206347420014
1.0,-0.5844376442596974,-90.31324279652816
1.0,-13.354163543505894,-90.31204913289706
1.0,-13.370660838476567,-89.8506951291519
1.0,-13.297243557126212,-89.83014693448807
1.0,-13.343960785790623,-89.82691927938241
1.0,-13.446284473613087,-89.81023868250706
1.0,-13.462606445887904,-89.7604098864371
1.0,-13.638140571127654,-89.66474405320768
1.0,-361.4092109747886,-89.65493879142815
1.0,-13.875661553810117,-89.55783040401658
1.0,-0.5867969464695992,-89.46637556939754
1.0,-13.230061865348151,-89.35021453691476
1.0,-4.4973364743868025,-89.34319419267763
1.0,-7.652420011468674,-89.34188934201775
1.0,-11.53135610403558,-89.3407473707363
1.0,-13.550093417358696,-89.31664182506815
1.0,-14.258049887578448,-89.11001021678884
1.0,-13.786332121266646,-88.93457476577932
1.0,-13.645179419371248,-88.91391135530132
1.0,-13.47679418658029,-88.79625566320856
1.0,-13.410561289183155,-88.78104084300134
1.0,-0.5819373362780464,-88.7806812357505
1.0,-13.336187230921421,-88.75458144115463
1.0,-13.287050854884328,-88.7381943761931
