v_inf,re,im
5.0,-2.9166119878227867,-458.1246663047359
5.0,-2.9165327114915844,-458.1245749218771
5.0,-2.9166912638093425,-458.12457492166743
5.0,-2.916611987504964,-458.124333927706
5.0,-2.9166119875500303,-458.12413667711155
5.0,-2.916611987586468,-458.1237311942945
5.0,-2.9166119883502617,-458.1234975650363
5.0,-2.9166119893746285,-458.1228768605085
5.0,-2.9166119932005494,-458.12216240352365
5.0,-2.916612004369341,-458.12100585800283
5.0,-2.9166120316356263,-458.1189743803434
5.0,-2.916612154291611,-458.1151122131033
5.0,-2.91661267028835,-458.10639462765585
5.0,-2.916616415882485,-458.08256527444433
5.0,-2.9166232067950664,-458.0248164071281
5.0,-2.916612539814711,-457.99965015342804
5.0,-2.916613395429454,-457.979462351733
5.0,-2.9166150139595204,-457.94849753697696
5.0,-2.9166158575511285,-457.902671260591
5.0,-2.9166208174250654,-457.83221673714894
5.0,-2.9173313631822992,-457.7788781544346
5.0,-2.917089808126609,-457.7096009548419
5.0,-2.916975011946559,-457.7072754250677
5.0,-2.9173622262177448,-457.6933183537652
5.0,-2.91732344711025,-457.66989101397405
5.0,-2.9172417731023446,-457.63917389568064
5.0,-2.91714571201007,-457.60329016219526
5.0,-2.9170363424465364,-457.5668393584871
5.0,-2.917017504073715,-457.5289117004863
5.0,-2.917005784576692,-457.48025493248156
5.0,-2.916908404498505,-457.4229378206028
5.0,-2.9167105061669774,-457.3958753957683
5.0,-2.916883632053824,-457.3458809906608
5.0,-2.916825320555772,-457.26722190340524
5.0,-2.916758903579166,-457.1772789371523
5.0,-2.9166950412250174,-457.07555228228654
5.0,-2.916636834351595,-456.96055260725177
5.0,-2.9165850253127763,-456.83041972775516
5.0,-2.916544142818901,-456.68330703538845
5.0,-2.916515317290175,-456.5191419204308
5.0,-2.9165015237026304,-456.35140789737324
5.0,-68.46083638605836,-456.1799455973202
5.0,-2.9168321445756105,-456.1691506154836
5.0,-2.9164891242475903,-455.9799088413647
5.0,-2.91653458194687,-455.7351789291796
5.0,-67.44655536007926,-455.68746353932556
5.0,-67.07119915338099,-455.5613661232985
5.0,-66.63619423096891,-455.47098654840926
5.0,-2.9166168941685116,-455.4110906329548
5.0,-66.50752461616419,-455.3947091389573
5.0,-66.80756446697156,-455.2867696886736
5.0,-2.916759094716726,-455.0109787857655
5.0,-67.62617142551093,-454.53703277911853
5.0,-2.9169952902992775,-454.51740477039783
5.0,-2.917381555685035,-453.9013641413755
5.0,-2.9179898856413105,-453.11945688988203
5.0,-66.87668978238314,-453.065904469464
5.0,-62.58103217217602,-452.43833110871384
