v_inf,re,im
100.0,-1.0906870301431189,-340.0041233496624
100.0,-1.0876237458350295,-337.7223031413347
100.0,-1.0811017736976944,-334.3224177743786
100.0,-1.0777382161241544,-328.72936874395907
100.0,-1.0870204382584017,-318.1891605158204
100.0,-1.177293911127877,-295.2312412964162
100.0,-1.091457390288948,-278.11415836976835
100.0,-78.30456112429691,-275.8016171324049
100.0,-112.53226025289895,-275.72063616405677
100.0,-152.40543992338914,-275.3718168160454
100.0,-198.29244094213539,-274.90005077417015
100.0,-1.595861054985714,-253.9894524275546
100.0,-1.6239790293960081,-222.21808317897046
100.0,-3884.102929917988,-221.28807553283497
100.0,-3683.2090107429012,-208.00772002551145
100.0,-76.08055918845807,-207.86120380766124
100.0,-110.31995873376485,-207.68934025124383
100.0,-150.08243456593362,-206.99635102813323
100.0,-195.90468363514543,-206.06356588775978
100.0,-3.9691486270833285,-187.4394630951597
100.0,-71.79820080666889,-139.51389197974453
100.0,-105.98296464540095,-139.25296518957757
100.0,-145.60601755945922,-138.2049118391017
100.0,-191.29604248118807,-136.74734492763554
100.0,0.624787086110643,-83.20828289862149
100.0,-62.867944636923184,-70.55513760389721
100.0,-97.54953035745284,-69.82438023190926
100.0,-137.20680041057776,-68.48086664421388
100.0,-182.4231283110359,-66.26322148394162
100.0,-6.417756485373785,-47.400442911527676
100.0,-3648.451052844745,-22.00972537998729
100.0,-3780.2706960022338,0.0
100.0,-156.59742691385017,0.0
100.0,-71.62612062852787,0.0
100.0,-3995.032492175959,0.0
100.0,-33.25653608479167,0.0
100.0,-113.24905330986847,0.0
100.0,-3648.451052844745,22.00972537998729
100.0,-6.417756485373785,47.400442911527676
100.0,-182.4231283110359,66.26322148394162
100.0,-137.20680041057776,68.48086664421388
100.0,-97.54953035745284,69.82438023190926
100.0,-62.867944636923184,70.55513760389721
100.0,0.624787086110643,83.20828289862149
100.0,-191.29604248118807,136.74734492763554
100.0,-145.60601755945922,138.2049118391017
100.0,-105.98296464540095,139.25296518957757
100.0,-71.79820080666889,139.51389197974453
100.0,-3.9691486270833285,187.4394630951597
100.0,-195.90468363514543,206.06356588775978
100.0,-150.08243456593362,206.99635102813323
100.0,-110.31995873376485,207.68934025124383
100.0,-76.08055918845807,207.86120380766124
100.0,-3683.2090107429012,208.00772002551145
100.0,-3884.102929917988,221.28807553283497
100.0,-1.6239790293960081,222.21808317897046
100.0,-1.595861054985714,253.9894524275546
100.0,-198.29244094213539,274.90005077417015
100.0,-152.40543992338914,275.3718168160454
100.0,-112.53226025289895,275.72063616405677
100.0,-78.30456112429691,275.8016171324049
100.0,-1.091457390288948,278.11415836976835
100.0,-1.177293911127877,295.2312412964162
100.0,-1.0870204382584017,318.1891605158204
100.0,-1.0777382161241544,328.72936874395907
100.0,-1.0811017736976944,334.3224177743786
100.0,-1.0876237458350295,337.7223031413347
100.0,-1.0906870301431189,340.0041233496624
100.0,-3784.0211358373235,343.56875039258455
100.0,-3593.28792058436,343.56875039258455
100.0,-3455.446833461649,343.56875039258455
100.0,-78.98216435898306,343.56875039258455
100.0,-685.6277031536042,343.56875039258455
100.0,-522.9320360699265,343.56875039258455
100.0,-385.9818523128484,343.56875039258455
100.0,-199.04496149426808,343.56875039258455
100.0,-153.13172783477364,343.56875039258455
100.0,-113.2143191728233,343.56875039258455
100.0,-3807.354153036908,343.56875039258455
100.0,-946.0076505339408,343.56875039258455
100.0,-inf,
100.0,-inf,
100.0,-inf,
100.0,-inf,
101.0,-1.1015343351041926,-343.36816882172104
101.0,-1.0983783485955174,-341.04050753253387
101.0,-1.0916593680686593,-337.5723736802957
101.0,-1.088195423714264,-331.86726291962674
101.0,-1.097754189676783,-321.11699913956113
101.0,-3605.004429654447,-301.0820142963315
101.0,-1.1904851208467901,-297.7101962553139
101.0,-1.102266411770138,-280.27322917963505
101.0,-79.08754207028943,-278.5601416484698
101.0,-113.65736093538533,-278.47829643737606
101.0,-153.92831604135728,-278.1264656059489
101.0,-200.27475328359648,-277.6492968856728
101.0,-1.6193122458628524,-255.72010871399848
101.0,-1.6395295098645057,-223.43448343510858
101.0,-76.84160235929807,-209.9421710210885
101.0,-111.42284884674396,-209.7672878914859
101.0,-151.58199679945395,-209.06809329014968
101.0,-197.8631204648193,-208.1246304808363
101.0,-4.037111995393291,-188.21695794374358
101.0,-72.5135661833452,-140.90847153608235
101.0,-107.04235036339348,-140.64594520372654
101.0,-147.06087223524955,-139.58901221839116
101.0,-193.20851012503212,-138.11524851195986
101.0,-3730.973077880838,-126.7209105871397
101.0,-3915.9216844784282,-122.51679886128035
101.0,0.6702334059970986,-83.15762342066263
101.0,-63.50421141351558,-71.26300648351703
101.0,-98.52670180134864,-70.52357433387348
101.0,-138.578433900677,-69.16746318508432
101.0,-184.24719828074296,-66.92626338521313
101.0,-3903.983739767781,-57.824189481143534
101.0,-6.508915377906371,-47.44676478798744
101.0,-3766.449572132851,0.0
101.0,-33.56212284478774,0.0
101.0,-72.34152660146712,0.0
101.0,-3645.3531172737944,0.0
101.0,-114.38296922159732,0.0
101.0,-158.16389029102845,0.0
101.0,-6.508915377906371,47.44676478798744
101.0,-3903.983739767781,57.824189481143534
101.0,-184.24719828074296,66.92626338521313
101.0,-138.578433900677,69.16746318508432
101.0,-98.52670180134864,70.52357433387348
101.0,-63.50421141351558,71.26300648351703
101.0,0.6702334059970986,83.15762342066263
101.0,-3915.9216844784282,122.51679886128035
101.0,-3730.973077880838,126.7209105871397
101.0,-193.20851012503212,138.11524851195986
101.0,-147.06087223524955,139.58901221839116
101.0,-107.04235036339348,140.64594520372654
101.0,-72.5135661833452,140.90847153608235
101.0,-4.037111995393291,188.21695794374358
101.0,-197.8631204648193,208.1246304808363
101.0,-151.58199679945395,209.06809329014968
101.0,-111.42284884674396,209.7672878914859
101.0,-76.84160235929807,209.9421710210885
101.0,-1.6395295098645057,223.43448343510858
101.0,-1.6193122458628524,255.72010871399848
101.0,-200.27475328359648,277.6492968856728
101.0,-153.92831604135728,278.1264656059489
101.0,-113.65736093538533,278.47829643737606
101.0,-79.08754207028943,278.5601416484698
101.0,-1.102266411770138,280.27322917963505
101.0,-1.1904851208467901,297.7101962553139
101.0,-3605.004429654447,301.0820142963315
101.0,-1.097754189676783,321.11699913956113
101.0,-1.088195423714264,331.86726291962674
101.0,-1.0916593680686593,337.5723736802957
101.0,-1.0983783485955174,341.04050753253387
101.0,-1.1015343351041926,343.36816882172104
101.0,-526.626384403385,347.0044378965104
101.0,-690.6157097527172,347.0044378965104
101.0,-953.5288874129783,347.0044378965104
101.0,-201.03481436951017,347.0044378965104
101.0,-114.3461766764572,347.0044378965104
101.0,-154.66186459144828,347.0044378965104
101.0,-3706.7608990057856,347.0044378965104
101.0,-79.7716872450715,347.0044378965104
101.0,-3849.8212482231897,347.0044378965104
101.0,-389.46641865892497,347.0044378965104
101.0,-inf,
101.0,-inf,
101.0,-inf,
101.0,-inf,
102.0,-1.1123798630311377,-346.73150171610706
102.0,-1.1091293262665711,-344.3575441548975
102.0,-1.1022094281605306,-340.8204862929007
102.0,-1.0986431658658644,-335.0022130487501
102.0,-1.1084837725340744,-324.0398750316913
102.0,-1.2037082287722283,-300.1802101364845
102.0,-1.1130702477455594,-282.4210743395207
102.0,-79.87052338698858,-281.3186673191531
102.0,-114.78246381945283,-281.23596012367733
102.0,-155.45118878757543,-280.88112729896073
102.0,-202.2570580919034,-280.39855195450457
102.0,-3900.4821520073465,-274.7555489679499
102.0,-1.6429027489645385,-257.43726510115783
102.0,-1.6548091431487097,-224.6362866890453
102.0,-77.60272279747967,-212.02314095909082
102.0,-112.52575304784403,-211.84525469171038
102.0,-153.0815575104683,-211.13986883024853
102.0,-199.821553479044,-210.18571045786325
102.0,-3745.2645699344653,-206.2912938589635
102.0,-4.105325276724165,-188.98213378297717
102.0,-73.22887192335587,-142.30318089184004
102.0,-108.1017122668217,-142.03896918419517
102.0,-148.51571808659597,-140.97315930624995
